Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.33,-104.14,6.1,13.10,-38.6,39.1,-81.0
20176990,-1.33,-104.67,6.1,13.05,-38.2,38.7,-80.9
20353980,-1.35,-105.01,6.1,12.93,-38.0,38.5,-80.8
20530972,-1.34,-105.57,6.1,12.97,-37.6,38.1,-80.9
20707962,-1.34,-106.09,6.0,13.01,-37.3,37.7,-80.9
20884952,-1.34,-106.62,6.0,13.00,-36.9,37.4,-80.8
21061944,-1.34,-107.07,5.9,12.98,-36.6,37.1,-80.8
21238934,-1.33,-107.63,5.8,13.11,-36.2,36.7,-80.9
21415924,-1.34,-108.08,5.8,13.01,-35.9,36.4,-80.8
21592916,-1.33,-108.50,5.8,13.10,-35.7,36.1,-80.8
21769906,-1.33,-109.01,5.8,13.07,-35.3,35.8,-80.8
21946896,-1.34,-109.41,5.8,12.98,-35.1,35.6,-80.7
22123888,-1.33,-109.83,5.7,13.06,-34.8,35.3,-80.7
22300878,-1.34,-110.39,5.7,13.03,-34.5,34.9,-80.6
22477868,-1.33,-110.80,5.6,13.12,-34.2,34.7,-80.7
22654860,-1.32,-111.28,5.5,13.21,-33.9,34.3,-80.7
22831850,-1.33,-111.75,5.6,13.10,-33.6,34.1,-80.6
23008840,-1.33,-112.15,5.5,13.08,-33.3,33.8,-80.6
23185832,-1.32,-112.58,5.5,13.14,-33.1,33.5,-80.6
23362822,-1.33,-113.07,5.5,13.13,-32.8,33.2,-80.5
23539812,-1.32,-113.51,5.4,13.23,-32.5,33.0,-80.6
23716804,-1.32,-113.91,5.4,13.19,-32.3,32.7,-80.5
23893794,-1.32,-114.39,5.4,13.19,-32.0,32.4,-80.5
24070784,-1.31,-114.75,5.3,13.25,-31.8,32.2,-80.5
24247776,-1.33,-115.23,5.3,13.13,-31.5,31.9,-80.4
24424766,-1.32,-115.58,5.3,13.16,-31.2,31.7,-80.4
24601756,-1.31,-115.96,5.2,13.25,-31.0,31.5,-80.4
24778748,-1.31,-116.37,5.2,13.29,-30.8,31.2,-80.4
24955738,-1.32,-116.73,5.2,13.15,-30.6,31.0,-80.3
25132728,-1.33,-117.22,5.2,13.13,-30.3,30.7,-80.2
25309720,-1.32,-117.68,5.1,13.23,-30.0,30.4,-80.3
25486710,-1.32,-118.03,5.2,13.17,-29.8,30.2,-80.2
25663700,-1.31,-118.42,5.1,13.26,-29.6,30.0,-80.2
25840692,-1.33,-118.73,5.1,13.09,-29.4,29.8,-80.1
26017682,-1.33,-119.08,5.1,13.10,-29.2,29.6,-80.0
26194672,-1.31,-119.71,5.0,13.28,-28.8,29.3,-80.1
26371664,-1.31,-119.92,5.0,13.24,-28.7,29.1,-80.1
26548654,-1.34,-120.36,5.1,13.00,-28.4,28.9,-79.8
26725644,-1.33,-120.84,5.0,13.12,-28.2,28.6,-79.9
26902636,-1.33,-121.19,5.0,13.05,-28.0,28.4,-79.8
27079626,-1.33,-121.43,5.0,13.06,-27.8,28.3,-79.8
27256616,-1.33,-121.82,5.0,13.06,-27.6,28.1,-79.7
27433608,-1.34,-122.24,5.0,12.95,-27.4,27.8,-79.6
27610598,-1.33,-122.50,5.0,13.05,-27.2,27.7,-79.6
27787588,-1.32,-122.80,4.9,13.16,-27.1,27.5,-79.7
27964580,-1.33,-123.08,4.9,13.10,-26.9,27.3,-79.6
