Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.52,-96.15,7.8,11.46,-44.3,45.0,-80.0
20176990,-1.52,-96.72,7.8,11.47,-43.9,44.5,-80.0
20353980,-1.53,-97.10,7.8,11.41,-43.6,44.2,-79.9
20530972,-1.52,-97.70,7.6,11.49,-43.1,43.8,-80.0
20707962,-1.51,-98.22,7.6,11.52,-42.7,43.4,-80.0
20884952,-1.52,-98.75,7.5,11.49,-42.3,43.0,-79.9
21061944,-1.52,-99.21,7.5,11.47,-42.0,42.7,-79.9
21238934,-1.51,-99.80,7.4,11.55,-41.6,42.2,-80.0
21415924,-1.52,-100.29,7.4,11.44,-41.2,41.9,-79.8
21592916,-1.52,-100.75,7.3,11.48,-40.9,41.5,-79.9
21769906,-1.52,-101.32,7.2,11.49,-40.5,41.1,-79.9
21946896,-1.52,-101.78,7.2,11.45,-40.1,40.8,-79.8
22123888,-1.51,-102.25,7.1,11.54,-39.8,40.4,-79.9
22300878,-1.52,-102.84,7.1,11.49,-39.4,40.0,-79.8
22477868,-1.51,-103.27,7.0,11.53,-39.1,39.7,-79.8
22654860,-1.51,-103.78,6.9,11.57,-38.8,39.4,-79.8
22831850,-1.52,-104.30,7.0,11.46,-38.4,39.0,-79.7
23008840,-1.52,-104.75,6.9,11.43,-38.1,38.7,-79.7
23185832,-1.52,-105.24,6.9,11.47,-37.7,38.4,-79.7
23362822,-1.52,-105.76,6.8,11.44,-37.4,38.0,-79.6
23539812,-1.51,-106.24,6.8,11.50,-37.1,37.7,-79.7
23716804,-1.52,-106.68,6.7,11.46,-36.8,37.4,-79.6
23893794,-1.51,-107.17,6.7,11.52,-36.5,37.1,-79.6
24070784,-1.50,-107.54,6.6,11.62,-36.2,36.8,-79.7
24247776,-1.51,-108.04,6.6,11.57,-35.9,36.5,-79.6
24424766,-1.50,-108.44,6.5,11.58,-35.6,36.2,-79.6
24601756,-1.50,-108.87,6.5,11.63,-35.4,35.9,-79.6
24778748,-1.50,-109.35,6.4,11.65,-35.0,35.6,-79.6
24955738,-1.51,-109.74,6.4,11.55,-34.8,35.4,-79.5
25132728,-1.51,-110.26,6.4,11.55,-34.5,35.0,-79.5
25309720,-1.50,-110.76,6.3,11.65,-34.1,34.7,-79.5
25486710,-1.49,-111.16,6.3,11.66,-33.9,34.5,-79.5
