Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
35398188,-1.52,-133.23,5.2,11.48,-21.4,22.0,-76.5
35575178,-1.52,-133.58,5.2,11.44,-21.2,21.9,-76.3
35752168,-1.50,-133.88,5.1,11.58,-21.1,21.7,-76.4
35929160,-1.50,-134.19,5.1,11.60,-20.9,21.5,-76.4
36106150,-1.52,-134.40,5.1,11.45,-20.8,21.5,-76.2
36283140,-1.54,-134.69,5.2,11.34,-20.7,21.3,-76.0
36460132,-1.54,-135.10,5.2,11.29,-20.5,21.1,-75.8
36637122,-1.55,-135.29,5.2,11.27,-20.4,21.0,-75.7
36814112,-1.54,-135.58,5.1,11.31,-20.2,20.9,-75.7
36991104,-1.54,-135.86,5.1,11.33,-20.1,20.7,-75.7
37168094,-1.56,-136.15,5.2,11.19,-19.9,20.6,-75.4
37345084,-1.56,-136.48,5.2,11.14,-19.8,20.4,-75.3
37522076,-1.56,-136.74,5.2,11.16,-19.6,20.3,-75.2
37699066,-1.58,-137.02,5.2,11.03,-19.5,20.2,-75.0
37876056,-1.59,-137.38,5.3,10.93,-19.3,20.0,-74.8
38053048,-1.60,-137.68,5.3,10.90,-19.2,19.9,-74.6
38230038,-1.60,-138.02,5.3,10.91,-19.0,19.7,-74.5
38407028,-1.61,-138.35,5.3,10.80,-18.8,19.6,-74.3
38584020,-1.64,-138.68,5.4,10.62,-18.7,19.4,-73.9
38761010,-1.65,-139.13,5.4,10.54,-18.4,19.2,-73.7
38938000,-1.66,-139.47,5.4,10.48,-18.3,19.1,-73.5
39114992,-1.67,-139.92,5.4,10.43,-18.0,18.8,-73.3
39291982,-1.72,-140.35,5.6,10.14,-17.8,18.7,-72.7
39468972,-1.73,-140.72,5.6,10.05,-17.6,18.5,-72.4
39645964,-1.77,-141.20,5.7,9.82,-17.4,18.3,-71.8
39822954,-1.81,-141.79,5.8,9.66,-17.1,18.1,-71.3
39999944,-1.85,-142.29,5.9,9.41,-16.9,17.9,-70.6
40176936,-1.90,-142.71,6.0,9.20,-16.7,17.7,-70.0
40353926,-1.98,-143.29,6.3,8.82,-16.4,17.5,-69.0
40530916,-2.07,-143.81,6.5,8.44,-16.1,17.4,-67.9
40707908,-2.16,-144.51,6.8,8.07,-15.7,17.1,-66.6
40884898,-2.28,-144.79,7.2,7.66,-15.6,17.1,-65.3
41061888,-2.40,-145.26,7.5,7.29,-15.3,17.1,-63.9
41238880,-2.53,-145.64,7.9,6.92,-15.1,17.0,-62.4
41415870,-2.68,-145.78,8.4,6.52,-15.0,17.2,-60.8
41592860,-2.84,-145.98,8.8,6.17,-14.9,17.3,-59.3
41769852,-3.00,-146.15,9.3,5.85,-14.7,17.4,-57.7
41946842,-3.20,-145.81,9.9,5.50,-14.8,17.8,-56.2
42123832,-3.38,-145.44,10.5,5.20,-14.9,18.2,-54.9
42300824,-3.57,-145.09,11.1,4.93,-15.0,18.7,-53.5
42477814,-3.75,-143.96,11.7,4.70,-15.5,19.4,-52.9
42654804,-3.94,-142.92,12.3,4.48,-15.8,20.1,-52.1
42831796,-4.14,-141.73,13.0,4.28,-16.3,20.8,-51.4
43008786,-4.19,-140.10,13.3,4.22,-17.0,21.6,-52.0
43185776,-4.23,-138.41,13.6,4.18,-17.8,22.3,-52.6
43362768,-4.27,-136.63,13.8,4.15,-18.6,23.1,-53.3
43539758,-4.19,-134.92,13.7,4.23,-19.4,23.8,-54.7
43716748,-4.11,-133.27,13.7,4.30,-20.2,24.4,-56.0
43893740,-4.03,-131.76,13.5,4.39,-21.0,25.0,-57.2
44070730,-3.81,-130.55,12.9,4.64,-21.7,25.3,-59.2
44247720,-3.58,-129.59,12.3,4.93,-22.4,25.5,-61.2
44424712,-3.38,-128.61,11.7,5.21,-23.0,25.8,-63.0
44601702,-3.15,-128.38,11.0,5.57,-23.2,25.7,-64.7
44778692,-2.94,-128.26,10.3,5.97,-23.4,25.6,-66.3
44955684,-2.74,-128.17,9.6,6.40,-23.6,25.4,-67.8
45132674,-2.58,-128.60,9.0,6.78,-23.4,25.1,-68.9
45309664,-2.42,-128.97,8.5,7.22,-23.3,24.8,-70.0
45486656,-2.28,-129.35,8.0,7.67,-23.2,24.5,-71.1
45663646,-2.17,-129.88,7.6,8.03,-22.9,24.2,-71.8
45840636,-2.10,-130.31,7.3,8.33,-22.7,23.9,-72.3
46017628,-1.99,-130.80,6.9,8.77,-22.5,23.6,-73.0
46194618,-1.94,-131.42,6.7,8.99,-22.2,23.2,-73.3
46371608,-1.89,-131.87,6.5,9.24,-22.0,22.9,-73.6
46548600,-1.82,-132.27,6.2,9.61,-21.8,22.7,-74.1
46725590,-1.79,-132.82,6.1,9.74,-21.6,22.4,-74.2
46902580,-1.75,-133.25,5.9,9.96,-21.4,22.2,-74.4
47079572,-1.71,-133.67,5.8,10.16,-21.1,21.9,-74.6
47256562,-1.70,-134.10,5.7,10.28,-20.9,21.7,-74.7
47433552,-1.67,-134.50,5.6,10.43,-20.7,21.5,-74.8
47610544,-1.65,-134.79,5.5,10.57,-20.6,21.3,-74.9
47787534,-1.65,-135.10,5.5,10.58,-20.4,21.2,-74.9
47964524,-1.63,-135.48,5.5,10.68,-20.3,21.0,-74.9
48141516,-1.62,-135.75,5.4,10.77,-20.1,20.8,-75.0
48318506,-1.60,-136.03,5.3,10.88,-20.0,20.7,-75.1
48495496,-1.60,-136.34,5.3,10.90,-19.8,20.5,-75.0
