Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
35398188,-1.28,-144.33,4.1,13.55,-16.0,16.5,-75.7
35575178,-1.29,-144.65,4.1,13.50,-15.8,16.4,-75.6
35752168,-1.28,-144.95,4.0,13.64,-15.7,16.2,-75.6
35929160,-1.27,-145.26,4.0,13.66,-15.5,16.1,-75.5
36106150,-1.29,-145.47,4.1,13.52,-15.4,16.0,-75.3
36283140,-1.29,-145.76,4.1,13.45,-15.3,15.8,-75.1
36460132,-1.30,-146.13,4.1,13.43,-15.1,15.7,-75.0
36637122,-1.30,-146.36,4.1,13.40,-15.0,15.6,-74.8
36814112,-1.29,-146.68,4.0,13.46,-14.9,15.4,-74.8
36991104,-1.29,-146.99,4.0,13.48,-14.7,15.3,-74.7
37168094,-1.30,-147.26,4.1,13.39,-14.6,15.2,-74.5
37345084,-1.30,-147.56,4.0,13.41,-14.5,15.0,-74.4
37522076,-1.29,-147.79,4.0,13.54,-14.4,14.9,-74.4
37699066,-1.30,-148.05,4.0,13.38,-14.2,14.8,-74.1
37876056,-1.32,-148.38,4.1,13.23,-14.1,14.7,-73.8
38053048,-1.32,-148.66,4.1,13.20,-13.9,14.5,-73.7
38230038,-1.31,-148.93,4.1,13.27,-13.8,14.4,-73.6
38407028,-1.32,-149.19,4.1,13.17,-13.7,14.3,-73.4
38584020,-1.34,-149.46,4.1,13.00,-13.6,14.2,-73.1
38761010,-1.33,-149.84,4.1,13.08,-13.4,14.0,-73.0
38938000,-1.32,-150.13,4.1,13.16,-13.3,13.9,-72.9
39114992,-1.31,-150.51,4.0,13.25,-13.1,13.7,-72.9
39291982,-1.34,-150.82,4.1,12.98,-12.9,13.6,-72.4
39468972,-1.35,-151.10,4.1,12.94,-12.8,13.4,-72.2
39645964,-1.37,-151.46,4.2,12.74,-12.6,13.3,-71.7
39822954,-1.37,-151.92,4.2,12.71,-12.4,13.1,-71.4
39999944,-1.39,-152.30,4.2,12.54,-12.2,13.0,-70.9
40176936,-1.40,-152.61,4.3,12.44,-12.1,12.8,-70.6
40353926,-1.42,-153.06,4.3,12.26,-11.9,12.7,-70.1
40530916,-1.45,-153.43,4.4,12.03,-11.7,12.5,-69.5
40707908,-1.48,-153.94,4.5,11.76,-11.5,12.3,-68.7
40884898,-1.51,-154.32,4.5,11.57,-11.3,12.2,-68.1
41061888,-1.53,-154.83,4.6,11.37,-11.1,12.0,-67.4
41238880,-1.57,-155.25,4.7,11.12,-10.9,11.9,-66.6
41415870,-1.62,-155.65,4.9,10.75,-10.7,11.7,-65.5
41592860,-1.67,-156.08,5.0,10.45,-10.5,11.6,-64.5
41769852,-1.72,-156.49,5.1,10.15,-10.3,11.5,-63.5
41946842,-1.79,-156.85,5.3,9.76,-10.1,11.4,-62.2
42123832,-1.84,-157.19,5.5,9.50,-10.0,11.4,-61.2
42300824,-1.89,-157.56,5.6,9.23,-9.8,11.3,-60.1
42477814,-1.97,-157.82,5.9,8.85,-9.7,11.3,-58.8
42654804,-2.06,-158.18,6.1,8.48,-9.5,11.3,-57.2
42831796,-2.15,-158.47,6.4,8.12,-9.4,11.3,-55.7
43008786,-2.26,-158.78,6.7,7.73,-9.2,11.4,-54.0
43185776,-2.37,-159.05,7.0,7.37,-9.1,11.5,-52.3
43362768,-2.48,-159.38,7.3,7.06,-8.9,11.5,-50.6
43539758,-2.62,-159.17,7.7,6.69,-9.0,11.8,-49.3
43716748,-2.76,-159.03,8.1,6.34,-9.0,12.2,-47.9
43893740,-2.91,-158.95,8.6,6.03,-9.0,12.4,-46.5
44070730,-3.03,-158.26,8.9,5.79,-9.3,12.9,-46.1
44247720,-3.15,-157.69,9.3,5.58,-9.5,13.3,-45.7
44424712,-3.28,-157.14,9.7,5.35,-9.7,13.8,-45.1
44601702,-3.36,-156.03,10.0,5.24,-10.2,14.3,-45.7
44778692,-3.42,-155.00,10.2,5.14,-10.6,14.7,-46.3
44955684,-3.50,-154.01,10.4,5.03,-11.1,15.2,-46.7
45132674,-3.47,-152.83,10.4,5.07,-11.6,15.6,-48.1
45309664,-3.44,-151.68,10.4,5.11,-12.1,15.9,-49.4
45486656,-3.42,-150.54,10.4,5.15,-12.6,16.3,-50.6
45663646,-3.32,-149.77,10.1,5.29,-13.0,16.5,-52.1
45840636,-3.26,-148.95,10.0,5.40,-13.4,16.7,-53.4
46017628,-3.16,-148.18,9.7,5.56,-13.8,16.8,-54.8
46194618,-3.03,-147.72,9.3,5.79,-14.0,16.8,-56.3
46371608,-2.90,-147.16,9.0,6.05,-14.3,16.9,-57.9
46548600,-2.76,-146.54,8.6,6.35,-14.6,16.9,-59.6
46725590,-2.62,-146.57,8.2,6.67,-14.6,16.8,-60.9
46902580,-2.48,-146.44,7.7,7.05,-14.7,16.6,-62.4
47079572,-2.34,-146.33,7.3,7.46,-14.8,16.5,-63.8
47256562,-2.24,-146.70,7.0,7.81,-14.7,16.3,-64.6
47433552,-2.13,-147.01,6.6,8.21,-14.6,16.0,-65.6
47610544,-2.02,-147.23,6.3,8.63,-14.5,15.8,-66.5
47787534,-1.95,-147.64,6.1,8.94,-14.3,15.5,-67.1
47964524,-1.87,-148.12,5.8,9.32,-14.1,15.2,-67.7
48141516,-1.80,-148.48,5.6,9.71,-13.9,15.0,-68.3
48318506,-1.74,-148.87,5.4,10.03,-13.8,14.8,-68.7
48495496,-1.69,-149.27,5.2,10.30,-13.6,14.6,-69.0
