Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.53,-110.58,6.5,11.36,-34.2,34.8,-79.3
20176990,-1.53,-111.10,6.4,11.40,-33.9,34.5,-79.3
20353980,-1.53,-111.43,6.4,11.37,-33.7,34.3,-79.2
20530972,-1.52,-111.97,6.3,11.47,-33.4,34.0,-79.3
20707962,-1.51,-112.38,6.3,11.53,-33.1,33.7,-79.3
20884952,-1.51,-112.82,6.2,11.53,-32.9,33.4,-79.3
21061944,-1.51,-113.17,6.2,11.52,-32.6,33.2,-79.2
21238934,-1.50,-113.67,6.1,11.62,-32.3,32.9,-79.3
21415924,-1.51,-114.05,6.1,11.54,-32.1,32.7,-79.2
21592916,-1.50,-114.41,6.1,11.59,-31.9,32.5,-79.2
21769906,-1.51,-114.87,6.1,11.57,-31.6,32.2,-79.1
21946896,-1.52,-115.21,6.1,11.49,-31.4,32.0,-79.0
22123888,-1.51,-115.57,6.0,11.54,-31.2,31.8,-79.0
22300878,-1.51,-116.05,6.0,11.54,-30.9,31.5,-79.0
22477868,-1.50,-116.39,5.9,11.61,-30.7,31.3,-79.0
22654860,-1.49,-116.79,5.9,11.69,-30.5,31.0,-79.1
22831850,-1.50,-117.19,5.9,11.63,-30.2,30.8,-79.0
23008840,-1.50,-117.52,5.9,11.62,-30.0,30.6,-78.9
23185832,-1.49,-117.89,5.8,11.69,-29.8,30.4,-79.0
23362822,-1.49,-118.28,5.8,11.67,-29.6,30.1,-78.9
23539812,-1.48,-118.64,5.7,11.73,-29.4,29.9,-78.9
23716804,-1.49,-118.95,5.8,11.69,-29.2,29.8,-78.9
23893794,-1.49,-119.34,5.7,11.71,-29.0,29.5,-78.8
24070784,-1.48,-119.62,5.7,11.76,-28.8,29.4,-78.9
24247776,-1.49,-120.01,5.7,11.69,-28.6,29.1,-78.7
24424766,-1.49,-120.32,5.7,11.70,-28.4,29.0,-78.7
24601756,-1.48,-120.67,5.6,11.74,-28.2,28.8,-78.7
24778748,-1.48,-121.03,5.6,11.76,-28.0,28.6,-78.7
24955738,-1.49,-121.31,5.6,11.69,-27.8,28.4,-78.6
25132728,-1.49,-121.71,5.6,11.71,-27.6,28.2,-78.6
25309720,-1.47,-122.09,5.5,11.83,-27.4,28.0,-78.6
25486710,-1.48,-122.34,5.5,11.80,-27.3,27.8,-78.6
25663700,-1.46,-122.65,5.5,11.89,-27.1,27.6,-78.6
25840692,-1.48,-122.87,5.5,11.78,-27.0,27.5,-78.5
26017682,-1.47,-123.14,5.5,11.81,-26.8,27.4,-78.5
26194672,-1.45,-123.69,5.4,11.98,-26.5,27.1,-78.6
26371664,-1.45,-123.83,5.4,11.97,-26.4,27.0,-78.6
26548654,-1.48,-124.18,5.4,11.79,-26.2,26.8,-78.3
26725644,-1.46,-124.55,5.4,11.89,-26.0,26.6,-78.4
26902636,-1.47,-124.81,5.4,11.83,-25.9,26.4,-78.3
27079626,-1.47,-125.02,5.4,11.85,-25.8,26.3,-78.3
27256616,-1.47,-125.38,5.3,11.86,-25.6,26.1,-78.2
27433608,-1.48,-125.76,5.3,11.78,-25.4,25.9,-78.1
27610598,-1.47,-125.91,5.3,11.86,-25.3,25.8,-78.2
27787588,-1.46,-126.10,5.3,11.94,-25.2,25.7,-78.2
27964580,-1.47,-126.27,5.3,11.88,-25.1,25.7,-78.1
28141570,-1.44,-126.72,5.2,12.06,-24.9,25.4,-78.2
28318560,-1.43,-126.98,5.1,12.18,-24.7,25.3,-78.3
28495552,-1.44,-127.24,5.1,12.10,-24.6,25.1,-78.2
28672542,-1.44,-127.66,5.1,12.07,-24.4,24.9,-78.1
28849532,-1.44,-127.85,5.1,12.08,-24.3,24.8,-78.1
29026524,-1.44,-128.10,5.1,12.09,-24.1,24.7,-78.1
29203514,-1.46,-128.41,5.1,11.96,-24.0,24.5,-77.9
29380504,-1.43,-128.71,5.1,12.15,-23.8,24.3,-78.0
29557496,-1.43,-128.97,5.0,12.16,-23.7,24.2,-78.0
29734486,-1.45,-129.22,5.1,12.03,-23.5,24.1,-77.8
29911476,-1.44,-129.51,5.0,12.11,-23.4,23.9,-77.8
30088468,-1.44,-129.72,5.0,12.10,-23.3,23.8,-77.8
30265458,-1.44,-130.05,5.0,12.11,-23.1,23.6,-77.7
30442448,-1.44,-130.28,5.0,12.09,-23.0,23.5,-77.7
30619440,-1.43,-130.50,5.0,12.20,-22.9,23.4,-77.8
30796430,-1.43,-130.75,5.0,12.16,-22.7,23.3,-77.7
30973420,-1.44,-130.97,5.0,12.06,-22.6,23.2,-77.5
31150412,-1.43,-131.19,4.9,12.17,-22.5,23.0,-77.6
