Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
35398188,-1.50,-137.55,5.0,11.57,-19.2,19.9,-75.5
35575178,-1.46,-138.32,4.8,11.89,-18.9,19.5,-75.7
35752168,-1.40,-139.03,4.6,12.41,-18.5,19.1,-76.1
35929160,-1.35,-139.76,4.4,12.86,-18.2,18.7,-76.4
36106150,-1.34,-140.14,4.4,12.97,-18.0,18.5,-76.4
36283140,-1.33,-140.60,4.3,13.13,-17.8,18.3,-76.4
36460132,-1.30,-141.14,4.2,13.36,-17.5,18.0,-76.5
36637122,-1.30,-141.47,4.2,13.42,-17.4,17.9,-76.5
36814112,-1.28,-141.88,4.1,13.56,-17.2,17.7,-76.5
36991104,-1.27,-142.28,4.1,13.68,-17.0,17.5,-76.5
37168094,-1.28,-142.58,4.1,13.64,-16.8,17.3,-76.4
37345084,-1.27,-142.91,4.1,13.72,-16.7,17.2,-76.3
37522076,-1.25,-143.16,4.0,13.91,-16.6,17.0,-76.5
37699066,-1.26,-143.45,4.0,13.85,-16.4,16.9,-76.3
37876056,-1.26,-143.82,4.0,13.79,-16.2,16.7,-76.1
38053048,-1.26,-144.14,4.0,13.87,-16.1,16.6,-76.1
38230038,-1.25,-144.42,3.9,13.96,-16.0,16.4,-76.1
38407028,-1.25,-144.70,4.0,13.87,-15.8,16.3,-75.9
38584020,-1.27,-144.97,4.0,13.69,-15.7,16.2,-75.7
38761010,-1.26,-145.28,4.0,13.80,-15.5,16.0,-75.6
38938000,-1.25,-145.48,3.9,13.90,-15.4,15.9,-75.7
39114992,-1.24,-145.79,3.9,14.02,-15.3,15.8,-75.7
39291982,-1.26,-146.02,3.9,13.86,-15.2,15.7,-75.4
39468972,-1.24,-146.21,3.9,13.99,-15.1,15.6,-75.5
39645964,-1.25,-146.47,3.9,13.89,-15.0,15.5,-75.3
39822954,-1.25,-146.82,3.9,13.98,-14.8,15.3,-75.3
39999944,-1.25,-147.08,3.9,13.88,-14.7,15.2,-75.1
40176936,-1.25,-147.26,3.9,13.87,-14.6,15.1,-75.0
40353926,-1.25,-147.55,3.9,13.87,-14.5,15.0,-74.9
40530916,-1.26,-147.76,3.9,13.80,-14.4,14.9,-74.7
40707908,-1.28,-148.11,4.0,13.65,-14.2,14.7,-74.4
40884898,-1.27,-148.27,3.9,13.75,-14.1,14.7,-74.5
41061888,-1.26,-148.56,3.9,13.81,-14.0,14.5,-74.4
41238880,-1.26,-148.76,3.9,13.77,-13.9,14.4,-74.3
41415870,-1.26,-149.02,3.9,13.81,-13.8,14.3,-74.2
41592860,-1.25,-149.30,3.9,13.90,-13.6,14.2,-74.2
41769852,-1.25,-149.54,3.8,13.96,-13.5,14.1,-74.1
41946842,-1.26,-149.76,3.9,13.80,-13.4,14.0,-73.9
42123832,-1.26,-149.93,3.9,13.84,-13.4,13.9,-73.8
42300824,-1.26,-150.13,3.9,13.82,-13.3,13.8,-73.7
42477814,-1.26,-150.32,3.9,13.81,-13.2,13.7,-73.6
42654804,-1.27,-150.62,3.9,13.74,-13.0,13.6,-73.4
42831796,-1.28,-150.82,3.9,13.64,-12.9,13.5,-73.2
43008786,-1.27,-151.05,3.9,13.66,-12.8,13.4,-73.1
43185776,-1.28,-151.25,3.9,13.64,-12.7,13.3,-73.0
43362768,-1.26,-151.47,3.9,13.77,-12.6,13.2,-73.0
43539758,-1.27,-151.71,3.9,13.75,-12.5,13.1,-72.8
43716748,-1.27,-151.97,3.9,13.66,-12.4,13.0,-72.6
43893740,-1.28,-152.32,3.9,13.61,-12.2,12.9,-72.4
44070730,-1.28,-152.40,3.9,13.65,-12.2,12.8,-72.4
44247720,-1.27,-152.63,3.9,13.71,-12.1,12.7,-72.3
44424712,-1.27,-152.85,3.9,13.68,-12.0,12.6,-72.1
44601702,-1.27,-153.01,3.9,13.68,-11.9,12.5,-72.1
44778692,-1.27,-153.24,3.9,13.70,-11.8,12.4,-72.0
44955684,-1.27,-153.50,3.9,13.68,-11.7,12.3,-71.8
45132674,-1.28,-153.66,3.9,13.63,-11.6,12.3,-71.6
45309664,-1.27,-153.85,3.9,13.65,-11.5,12.2,-71.5
45486656,-1.28,-154.02,3.9,13.59,-11.5,12.1,-71.3
45663646,-1.27,-154.27,3.9,13.66,-11.4,12.0,-71.3
45840636,-1.29,-154.47,3.9,13.49,-11.3,11.9,-70.9
46017628,-1.28,-154.71,3.9,13.59,-11.2,11.8,-70.9
46194618,-1.29,-155.03,3.9,13.51,-11.0,11.7,-70.6
46371608,-1.29,-155.24,3.9,13.53,-10.9,11.6,-70.5
46548600,-1.28,-155.44,3.8,13.60,-10.8,11.5,-70.4
46725590,-1.28,-155.71,3.9,13.58,-10.7,11.4,-70.2
46902580,-1.28,-155.88,3.9,13.57,-10.6,11.3,-70.1
47079572,-1.28,-156.07,3.8,13.59,-10.5,11.2,-70.0
47256562,-1.29,-156.34,3.9,13.53,-10.4,11.1,-69.7
47433552,-1.29,-156.61,3.9,13.45,-10.3,11.0,-69.4
47610544,-1.30,-156.80,3.9,13.35,-10.2,10.9,-69.1
47787534,-1.31,-157.02,3.9,13.32,-10.1,10.8,-68.9
47964524,-1.30,-157.33,3.9,13.37,-10.0,10.7,-68.7
48141516,-1.30,-157.54,3.9,13.35,-9.9,10.6,-68.5
48318506,-1.30,-157.76,3.9,13.42,-9.8,10.5,-68.4
48495496,-1.30,-158.01,3.9,13.37,-9.7,10.4,-68.1
48672488,-1.30,-158.27,3.9,13.41,-9.5,10.3,-68.0
48849478,-1.31,-158.48,3.9,13.29,-9.4,10.2,-67.6
49026468,-1.32,-158.72,3.9,13.23,-9.3,10.1,-67.3
49203460,-1.32,-158.97,3.9,13.17,-9.2,10.0,-66.9
49380450,-1.32,-159.30,3.9,13.15,-9.1,9.9,-66.6
49557440,-1.32,-159.58,3.9,13.19,-9.0,9.8,-66.4
49734432,-1.33,-159.85,3.9,13.14,-8.8,9.7,-66.0
49911422,-1.33,-160.20,3.9,13.05,-8.7,9.5,-65.5
50088412,-1.35,-160.54,4.0,12.87,-8.5,9.4,-64.9
50265404,-1.35,-160.89,4.0,12.87,-8.4,9.3,-64.5
50442394,-1.37,-161.18,4.0,12.68,-8.2,9.2,-63.8
50619384,-1.39,-161.67,4.1,12.55,-8.0,9.0,-63.0
50796376,-1.40,-162.01,4.1,12.39,-7.9,8.9,-62.3
50973366,-1.43,-162.50,4.2,12.18,-7.6,8.7,-61.2
51150356,-1.46,-162.97,4.3,11.93,-7.4,8.6,-60.0
51327348,-1.49,-163.45,4.4,11.72,-7.2,8.4,-58.9
51504338,-1.55,-163.87,4.5,11.24,-7.0,8.4,-57.1
51681328,-1.62,-164.38,4.7,10.76,-6.8,8.3,-55.2
51858320,-1.68,-164.80,4.9,10.38,-6.6,8.2,-53.4
52035310,-1.78,-165.19,5.2,9.82,-6.4,8.3,-51.2
52212300,-1.88,-165.55,5.5,9.27,-6.3,8.3,-48.8
52389292,-1.99,-165.93,5.8,8.76,-6.1,8.4,-46.4
52566282,-2.16,-165.99,6.3,8.08,-6.0,8.7,-43.9
52743272,-2.33,-166.08,6.8,7.51,-6.0,9.0,-41.6
52920264,-2.49,-166.22,7.2,7.02,-5.9,9.3,-39.3
53097254,-2.69,-164.72,7.8,6.51,-6.5,10.2,-40.0
53274244,-2.88,-163.39,8.4,6.10,-7.1,11.0,-40.3
53451236,-3.08,-162.05,9.0,5.70,-7.6,11.8,-40.4
53628226,-2.96,-160.15,8.7,5.92,-8.5,12.2,-44.3
53805216,-2.84,-158.28,8.4,6.17,-9.3,12.5,-48.1
53982208,-2.72,-156.37,8.1,6.45,-10.2,13.0,-51.6
54159198,-2.50,-156.16,7.5,7.00,-10.3,12.7,-54.2
54336188,-2.28,-155.95,6.8,7.66,-10.5,12.5,-56.9
54513180,-2.09,-155.66,6.3,8.37,-10.6,12.3,-59.5
54690170,-1.96,-156.14,5.9,8.90,-10.4,12.0,-60.6
54867160,-1.83,-156.56,5.5,9.51,-10.3,11.6,-61.9
55044152,-1.73,-157.02,5.2,10.06,-10.1,11.3,-62.8
55221142,-1.66,-157.45,5.0,10.49,-9.9,11.0,-63.4
55398132,-1.60,-157.88,4.8,10.87,-9.7,10.8,-63.8
55575124,-1.54,-158.34,4.6,11.31,-9.5,10.5,-64.2
55752114,-1.51,-158.78,4.5,11.53,-9.3,10.3,-64.2
55929104,-1.48,-159.21,4.4,11.77,-9.1,10.1,-64.2
56106096,-1.45,-159.63,4.3,12.00,-8.9,9.9,-64.3
56283086,-1.43,-160.03,4.2,12.18,-8.7,9.7,-64.2
56460076,-1.40,-160.37,4.1,12.43,-8.6,9.5,-64.3
56637068,-1.39,-160.76,4.1,12.53,-8.4,9.4,-64.0
56814058,-1.39,-161.07,4.1,12.55,-8.3,9.2,-63.7
56991048,-1.38,-161.33,4.1,12.62,-8.2,9.1,-63.5
57168040,-1.37,-161.60,4.0,12.71,-8.0,9.0,-63.4
57345030,-1.37,-161.91,4.0,12.73,-7.9,8.9,-63.0
57522020,-1.36,-162.23,4.0,12.81,-7.8,8.7,-62.8
57699012,-1.35,-162.47,4.0,12.88,-7.7,8.6,-62.6
57876002,-1.35,-162.73,4.0,12.92,-7.5,8.5,-62.3
58052992,-1.35,-163.01,4.0,12.90,-7.4,8.4,-61.9
