Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.3,-109.01,5.6,13.34,-35.4,35.8,-80.9
20176990,-1.31,-109.57,5.6,13.3,-35,35.4,-80.9
20353980,-1.32,-109.94,5.6,13.19,-34.7,35.2,-80.8
20530972,-1.31,-110.54,5.6,13.24,-34.4,34.8,-80.8
20707962,-1.31,-111.03,5.5,13.3,-34.1,34.5,-80.8
20884952,-1.31,-111.54,5.5,13.29,-33.7,34.2,-80.8
21061944,-1.31,-111.96,5.5,13.28,-33.5,33.9,-80.7
21238934,-1.3,-112.5,5.4,13.4,-33.1,33.6,-80.8
21415924,-1.3,-112.99,5.4,13.35,-32.8,33.3,-80.7
21592916,-1.3,-113.4,5.3,13.44,-32.6,33,-80.7
21769906,-1.29,-113.96,5.3,13.46,-32.2,32.7,-80.7
21946896,-1.31,-114.38,5.3,13.3,-32,32.4,-80.6
22123888,-1.3,-114.91,5.3,13.37,-31.7,32.1,-80.6
22300878,-1.3,-115.37,5.2,13.39,-31.4,31.8,-80.6
22477868,-1.31,-115.83,5.2,13.27,-31.1,31.5,-80.4
22654860,-1.3,-116.26,5.2,13.37,-30.8,31.3,-80.5
22831850,-1.31,-116.75,5.2,13.33,-30.6,31,-80.4
23008840,-1.3,-117.2,5.1,13.35,-30.3,30.7,-80.4
23185832,-1.29,-117.61,5.1,13.5,-30,30.5,-80.5
23362822,-1.29,-118.03,5,13.45,-29.8,30.2,-80.4
23539812,-1.29,-118.47,5,13.44,-29.5,30,-80.3
23716804,-1.3,-118.82,5,13.38,-29.3,29.8,-80.3
23893794,-1.31,-119.32,5,13.33,-29,29.5,-80.2
24070784,-1.29,-119.73,5,13.45,-28.8,29.2,-80.2
24247776,-1.28,-120.3,4.9,13.6,-28.5,28.9,-80.3
24424766,-1.31,-120.65,5,13.33,-28.3,28.7,-80.1
24601756,-1.3,-120.91,4.9,13.39,-28.1,28.6,-80.1
24778748,-1.32,-121.42,5,13.22,-27.8,28.3,-79.9
24955738,-1.3,-121.71,4.9,13.37,-27.7,28.1,-80
25132728,-1.31,-122.13,4.9,13.31,-27.4,27.9,-79.9
25309720,-1.3,-122.59,4.9,13.38,-27.2,27.6,-79.9
25486710,-1.3,-122.93,4.8,13.42,-27,27.4,-79.9
25663700,-1.3,-123.4,4.8,13.43,-26.7,27.2,-79.8
25840692,-1.3,-123.67,4.8,13.41,-26.6,27,-79.8
26017682,-1.29,-124.15,4.7,13.47,-26.3,26.7,-79.8
26194672,-1.3,-124.56,4.8,13.34,-26.1,26.5,-79.6
26371664,-1.31,-125.01,4.8,13.28,-25.8,26.3,-79.5
26548654,-1.31,-125.3,4.8,13.29,-25.7,26.1,-79.5
26725644,-1.29,-125.75,4.7,13.49,-25.4,25.9,-79.6
26902636,-1.29,-126.15,4.7,13.49,-25.2,25.6,-79.5
27079626,-1.31,-126.52,4.7,13.3,-25,25.5,-79.3
27256616,-1.3,-126.9,4.7,13.35,-24.8,25.2,-79.3
27433608,-1.31,-127.24,4.7,13.26,-24.6,25.1,-79.2
27610598,-1.3,-127.51,4.6,13.36,-24.5,24.9,-79.3
27787588,-1.31,-127.89,4.6,13.31,-24.3,24.7,-79.2
27964580,-1.3,-128.22,4.6,13.37,-24.1,24.5,-79.2
28141570,-1.29,-128.61,4.6,13.46,-23.9,24.3,-79.2
28318560,-1.29,-129.02,4.5,13.52,-23.7,24.1,-79.2
28495552,-1.29,-129.42,4.5,13.45,-23.5,23.9,-79
28672542,-1.29,-129.74,4.5,13.5,-23.3,23.7,-79
28849532,-1.29,-130.1,4.5,13.47,-23.1,23.5,-79
29026524,-1.28,-130.47,4.5,13.56,-22.9,23.3,-79
29203514,-1.29,-130.89,4.5,13.46,-22.7,23.1,-78.8
29380504,-1.29,-131.26,4.5,13.48,-22.5,22.9,-78.8
29557496,-1.3,-131.69,4.5,13.38,-22.3,22.7,-78.6
29734486,-1.29,-132.06,4.4,13.47,-22.1,22.5,-78.6
29911476,-1.29,-132.41,4.4,13.49,-21.9,22.3,-78.6
30088468,-1.3,-132.78,4.4,13.38,-21.7,22.2,-78.4
30265458,-1.31,-133.17,4.5,13.24,-21.5,22,-78.2
30442448,-1.3,-133.64,4.4,13.36,-21.3,21.7,-78.2
30619440,-1.3,-134.04,4.4,13.34,-21.1,21.5,-78.2
30796430,-1.32,-134.51,4.4,13.2,-20.8,21.3,-77.9
30973420,-1.33,-134.88,4.5,13.05,-20.6,21.1,-77.7
31150412,-1.35,-135.28,4.5,12.92,-20.4,20.9,-77.5
31327402,-1.36,-135.76,4.6,12.77,-20.2,20.7,-77.3
31504392,-1.38,-136.22,4.6,12.66,-19.9,20.5,-77.1
31681384,-1.38,-136.67,4.6,12.61,-19.7,20.2,-76.9
31858374,-1.43,-137.2,4.7,12.15,-19.4,20,-76.3
32035364,-1.5,-137.73,5,11.59,-19.2,19.8,-75.5
32212356,-1.55,-138.26,5.1,11.25,-18.9,19.6,-74.9
32389346,-1.63,-138.39,5.4,10.67,-18.8,19.6,-74.1
32566336,-1.71,-138.51,5.6,10.2,-18.7,19.5,-73.4
32743328,-1.79,-138.72,5.8,9.75,-18.6,19.5,-72.6
32920318,-1.85,-138.79,6,9.45,-18.6,19.5,-72
33097308,-1.91,-138.8,6.2,9.15,-18.5,19.6,-71.4
33274300,-1.96,-138.88,6.4,8.9,-18.5,19.6,-70.9
33451290,-2.06,-138.41,6.7,8.47,-18.7,19.9,-70.2
33628280,-2.14,-138.11,7,8.16,-18.8,20.1,-69.6
33805272,-2.24,-137.73,7.3,7.81,-19,20.3,-68.8
33982262,-2.18,-137.11,7.2,8,-19.3,20.6,-69.5
34159252,-2.12,-136.41,7,8.25,-19.7,20.9,-70.4
34336244,-2.06,-135.74,6.9,8.48,-20,21.1,-71.1
34513234,-1.95,-135.55,6.5,8.94,-20.1,21.2,-72.1
34690224,-1.83,-135.27,6.1,9.54,-20.3,21.2,-73.2
34867216,-1.73,-134.95,5.8,10.05,-20.5,21.3,-74.2
35044206,-1.62,-135.5,5.4,10.75,-20.2,21,-75
35221196,-1.54,-136.07,5.1,11.29,-20,20.6,-75.6
35398188,-1.43,-136.59,4.8,12.15,-19.7,20.3,-76.4
35575178,-1.41,-137.11,4.7,12.31,-19.5,20,-76.5
35752168,-1.38,-137.53,4.5,12.65,-19.3,19.8,-76.7
35929160,-1.35,-138.14,4.4,12.9,-19,19.5,-76.8
36106150,-1.34,-138.61,4.4,13.02,-18.8,19.3,-76.8
36283140,-1.34,-139.07,4.4,13.03,-18.5,19,-76.7
36460132,-1.33,-139.41,4.3,13.1,-18.4,18.9,-76.7
36637122,-1.32,-139.83,4.3,13.21,-18.2,18.7,-76.7
