Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-3.96,-102.66,17.8,4.46,-36.8,40.9,-64.2
20176990,-3.98,-103.21,17.7,4.44,-36.5,40.5,-64.0
20353980,-4.00,-103.57,17.8,4.41,-36.2,40.3,-63.8
20530972,-4.01,-104.16,17.7,4.41,-35.8,40.0,-63.7
20707962,-4.02,-104.66,17.6,4.40,-35.5,39.6,-63.6
20884952,-4.04,-105.16,17.6,4.38,-35.2,39.3,-63.5
21061944,-4.06,-105.60,17.6,4.36,-34.9,39.1,-63.3
21238934,-4.06,-106.18,17.4,4.36,-34.5,38.7,-63.2
21415924,-4.09,-106.67,17.4,4.33,-34.2,38.4,-63.0
21592916,-4.10,-107.11,17.4,4.32,-33.9,38.1,-62.9
21769906,-4.12,-107.66,17.3,4.30,-33.6,37.8,-62.7
21946896,-4.14,-108.09,17.4,4.27,-33.3,37.6,-62.5
22123888,-4.15,-108.53,17.3,4.27,-33.1,37.3,-62.4
22300878,-4.17,-109.10,17.2,4.25,-32.7,37.0,-62.2
22477868,-4.17,-109.51,17.2,4.24,-32.5,36.7,-62.1
22654860,-4.18,-109.99,17.1,4.24,-32.2,36.5,-62.0
22831850,-4.21,-110.47,17.1,4.21,-31.9,36.2,-61.7
23008840,-4.23,-110.86,17.1,4.19,-31.6,36.0,-61.6
23185832,-4.24,-111.30,17.1,4.18,-31.4,35.7,-61.4
23362822,-4.25,-111.80,17.0,4.17,-31.1,35.5,-61.3
23539812,-4.26,-112.25,17.0,4.16,-30.8,35.2,-61.2
23716804,-4.27,-112.66,17.0,4.15,-30.6,35.0,-61.0
23893794,-4.28,-113.17,16.9,4.14,-30.3,34.7,-60.8
24070784,-4.29,-113.55,16.9,4.13,-30.1,34.5,-60.7
24247776,-4.31,-114.09,16.9,4.11,-29.8,34.2,-60.5
24424766,-4.33,-114.46,16.8,4.10,-29.5,34.0,-60.3
24601756,-4.34,-114.84,16.8,4.08,-29.3,33.8,-60.1
24778748,-4.35,-115.30,16.8,4.08,-29.1,33.6,-60.0
24955738,-4.38,-115.66,16.8,4.05,-28.8,33.4,-59.8
25132728,-4.39,-116.17,16.8,4.04,-28.6,33.1,-59.6
25309720,-4.39,-116.64,16.7,4.04,-28.3,32.9,-59.5
25486710,-4.40,-117.07,16.7,4.03,-28.1,32.6,-59.3
25663700,-4.41,-117.55,16.6,4.02,-27.8,32.4,-59.1
25840692,-4.44,-117.96,16.7,4.00,-27.6,32.2,-58.8
26017682,-4.45,-118.28,16.7,3.98,-27.4,32.0,-58.7
26194672,-4.44,-118.88,16.5,3.99,-27.1,31.7,-58.6
26371664,-4.47,-119.08,16.6,3.97,-27.0,31.6,-58.4
26548654,-4.50,-119.55,16.6,3.95,-26.7,31.4,-58.1
26725644,-4.49,-120.03,16.5,3.95,-26.4,31.2,-58.0
26902636,-4.51,-120.40,16.5,3.94,-26.2,31.0,-57.8
27079626,-4.53,-120.59,16.5,3.92,-26.1,30.9,-57.7
27256616,-4.54,-120.96,16.5,3.91,-25.9,30.7,-57.5
27433608,-4.57,-121.36,16.6,3.89,-25.7,30.6,-57.2
27610598,-4.57,-121.66,16.5,3.89,-25.5,30.4,-57.1
27787588,-4.56,-122.01,16.4,3.89,-25.4,30.2,-57.0
27964580,-4.58,-122.35,16.5,3.88,-25.2,30.1,-56.8
28141570,-4.56,-122.92,16.3,3.89,-24.9,29.8,-56.8
28318560,-4.56,-123.25,16.3,3.90,-24.8,29.6,-56.7
28495552,-4.58,-123.63,16.3,3.88,-24.5,29.4,-56.5
28672542,-4.59,-124.20,16.2,3.87,-24.3,29.2,-56.2
28849532,-4.60,-124.51,16.2,3.86,-24.1,29.0,-56.0
29026524,-4.61,-124.87,16.2,3.86,-23.9,28.9,-55.9
29203514,-4.64,-125.28,16.2,3.83,-23.7,28.7,-55.5
29380504,-4.63,-125.65,16.2,3.84,-23.5,28.5,-55.5
29557496,-4.64,-125.99,16.1,3.83,-23.3,28.4,-55.3
29734486,-4.67,-126.45,16.2,3.81,-23.1,28.2,-55.0
29911476,-4.67,-126.90,16.1,3.81,-22.9,28.0,-54.8
30088468,-4.69,-127.27,16.1,3.79,-22.7,27.8,-54.6
30265458,-4.70,-127.67,16.1,3.79,-22.5,27.7,-54.4
30442448,-4.71,-128.01,16.1,3.78,-22.3,27.5,-54.2
