Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-7.98,-55.23,59.7,2.33,-46.6,75.7,-37.9
20176990,-8.03,-55.33,59.7,2.32,-46.2,75.5,-37.8
20353980,-8.09,-55.24,59.8,2.30,-45.9,75.4,-37.5
20530972,-8.14,-55.47,59.7,2.29,-45.5,75.0,-37.3
20707962,-8.19,-55.61,59.6,2.28,-45.1,74.8,-37.1
20884952,-8.25,-55.71,59.6,2.26,-44.7,74.5,-36.9
21061944,-8.31,-55.78,59.6,2.25,-44.4,74.3,-36.7
21238934,-8.34,-56.01,59.4,2.24,-44.2,74.0,-36.7
21415924,-8.40,-56.06,59.4,2.23,-43.8,73.8,-36.4
21592916,-8.42,-56.11,59.4,2.22,-43.7,73.7,-36.3
21769906,-8.50,-56.23,59.3,2.20,-43.2,73.4,-36.0
21946896,-8.57,-56.22,59.4,2.19,-42.8,73.2,-35.8
22123888,-8.62,-56.25,59.4,2.18,-42.5,73.1,-35.5
22300878,-8.67,-56.40,59.4,2.17,-42.2,72.8,-35.4
22477868,-8.70,-56.40,59.4,2.16,-42.0,72.7,-35.3
22654860,-8.73,-56.47,59.3,2.15,-41.8,72.6,-35.2
22831850,-8.80,-56.50,59.4,2.14,-41.4,72.4,-34.9
23008840,-8.85,-56.45,59.5,2.13,-41.2,72.3,-34.7
23185832,-8.89,-56.48,59.5,2.12,-40.9,72.2,-34.5
23362822,-8.94,-56.64,59.4,2.11,-40.6,71.9,-34.4
23539812,-8.98,-56.78,59.3,2.10,-40.4,71.7,-34.3
23716804,-9.03,-56.84,59.3,2.09,-40.1,71.6,-34.1
23893794,-9.07,-57.00,59.2,2.09,-39.9,71.3,-34.0
24070784,-9.10,-56.94,59.2,2.08,-39.7,71.3,-33.8
24247776,-9.17,-57.10,59.1,2.07,-39.3,71.0,-33.6
24424766,-9.21,-57.08,59.2,2.06,-39.1,70.9,-33.5
24601756,-9.24,-57.02,59.2,2.05,-38.9,70.9,-33.3
24778748,-9.29,-57.16,59.2,2.04,-38.7,70.7,-33.2
24955738,-9.34,-57.11,59.2,2.04,-38.4,70.6,-33.0
25132728,-9.41,-57.15,59.2,2.02,-38.1,70.4,-32.7
25309720,-9.44,-57.31,59.1,2.02,-37.9,70.2,-32.6
25486710,-9.49,-57.39,59.1,2.01,-37.6,70.1,-32.5
25663700,-9.52,-57.51,59.0,2.00,-37.4,69.9,-32.4
25840692,-9.58,-57.42,59.1,1.99,-37.2,69.8,-32.2
26017682,-9.61,-57.34,59.2,1.99,-37.0,69.8,-32.0
26194672,-9.64,-57.69,58.9,1.98,-36.8,69.5,-32.0
26371664,-9.67,-57.32,59.2,1.98,-36.7,69.7,-31.8
26548654,-9.75,-57.43,59.2,1.96,-36.3,69.4,-31.5
26725644,-9.79,-57.73,59.0,1.96,-36.1,69.1,-31.5
26902636,-9.85,-57.73,59.0,1.95,-35.8,69.0,-31.3
27079626,-9.86,-57.64,59.1,1.95,-35.7,69.0,-31.2
27256616,-9.90,-57.77,59.0,1.94,-35.6,68.9,-31.1
27433608,-9.94,-57.92,58.9,1.93,-35.4,68.7,-31.0
27610598,-9.99,-57.70,59.0,1.93,-35.1,68.7,-30.8
27787588,-10.03,-57.66,59.1,1.92,-34.9,68.6,-30.6
27964580,-10.10,-57.33,59.3,1.91,-34.6,68.7,-30.3
28141570,-10.13,-57.62,59.1,1.91,-34.5,68.5,-30.2
28318560,-10.13,-57.61,59.1,1.90,-34.4,68.4,-30.2
28495552,-10.17,-57.59,59.2,1.90,-34.3,68.4,-30.1
28672542,-10.23,-57.84,59.0,1.89,-34.0,68.1,-29.9
28849532,-10.26,-57.72,59.1,1.89,-33.9,68.1,-29.8
29026524,-10.28,-57.81,59.0,1.88,-33.8,68.0,-29.8
29203514,-10.35,-57.72,59.1,1.87,-33.5,67.9,-29.5
29380504,-10.37,-57.83,59.0,1.87,-33.4,67.8,-29.5
29557496,-10.40,-57.79,59.1,1.86,-33.2,67.8,-29.3
29734486,-10.48,-57.66,59.2,1.85,-32.8,67.7,-29.0
29911476,-10.51,-57.83,59.1,1.85,-32.7,67.5,-29.0
30088468,-10.55,-57.62,59.2,1.84,-32.5,67.5,-28.8
30265458,-10.59,-57.74,59.1,1.84,-32.3,67.4,-28.7
30442448,-10.64,-57.82,59.1,1.83,-32.1,67.2,-28.5
30619440,-10.66,-57.87,59.0,1.83,-32.1,67.2,-28.5
30796430,-10.70,-57.87,59.0,1.82,-31.9,67.1,-28.4
