Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
35398188,-1.40,-137.69,4.6,12.44,-19.2,19.8,-76.5
35575178,-1.42,-137.98,4.7,12.24,-19.1,19.6,-76.2
35752168,-1.42,-138.24,4.7,12.23,-18.9,19.5,-76.1
35929160,-1.44,-138.51,4.7,12.09,-18.8,19.4,-75.9
36106150,-1.47,-138.66,4.8,11.86,-18.7,19.3,-75.6
36283140,-1.49,-138.88,4.9,11.67,-18.6,19.2,-75.3
36460132,-1.51,-139.21,4.9,11.53,-18.4,19.1,-75.0
36637122,-1.52,-139.38,5.0,11.43,-18.3,19.0,-74.9
36814112,-1.53,-139.63,5.0,11.39,-18.2,18.9,-74.7
36991104,-1.54,-139.87,5.0,11.33,-18.1,18.8,-74.6
37168094,-1.57,-140.07,5.1,11.07,-18.0,18.7,-74.2
37345084,-1.60,-140.31,5.2,10.90,-17.9,18.6,-73.8
37522076,-1.61,-140.47,5.2,10.79,-17.8,18.5,-73.6
37699066,-1.66,-140.64,5.4,10.52,-17.7,18.5,-73.2
37876056,-1.70,-140.90,5.5,10.27,-17.6,18.4,-72.7
38053048,-1.73,-141.10,5.6,10.09,-17.5,18.3,-72.3
38230038,-1.77,-141.15,5.7,9.84,-17.4,18.3,-71.9
38407028,-1.83,-141.19,5.9,9.52,-17.4,18.4,-71.3
38584020,-1.90,-141.25,6.1,9.16,-17.3,18.4,-70.6
38761010,-1.94,-141.12,6.3,8.98,-17.4,18.5,-70.2
38938000,-1.98,-140.87,6.4,8.81,-17.5,18.6,-70.0
39114992,-2.02,-140.74,6.5,8.64,-17.6,18.7,-69.7
39291982,-2.05,-140.36,6.6,8.53,-17.7,18.9,-69.6
39468972,-2.04,-139.90,6.6,8.55,-18.0,19.1,-69.8
39645964,-2.06,-139.55,6.7,8.47,-18.1,19.3,-69.7
39822954,-2.01,-139.43,6.5,8.68,-18.2,19.3,-70.3
39999944,-1.98,-139.20,6.4,8.82,-18.3,19.4,-70.6
40176936,-1.94,-138.88,6.3,8.98,-18.5,19.5,-71.1
40353926,-1.88,-138.78,6.1,9.27,-18.6,19.5,-71.7
40530916,-1.83,-138.60,6.0,9.53,-18.7,19.6,-72.2
40707908,-1.79,-138.59,5.9,9.75,-18.7,19.6,-72.6
40884898,-1.72,-138.61,5.6,10.14,-18.7,19.5,-73.2
41061888,-1.65,-138.84,5.4,10.54,-18.6,19.3,-73.8
41238880,-1.60,-138.93,5.2,10.91,-18.5,19.3,-74.3
41415870,-1.55,-139.22,5.1,11.22,-18.4,19.1,-74.6
41592860,-1.51,-139.52,4.9,11.56,-18.3,18.9,-75.0
41769852,-1.46,-139.78,4.8,11.91,-18.2,18.8,-75.3
41946842,-1.45,-140.07,4.7,12.03,-18.0,18.6,-75.4
42123832,-1.42,-140.32,4.6,12.30,-17.9,18.5,-75.6
42300824,-1.39,-140.58,4.5,12.54,-17.8,18.3,-75.8
42477814,-1.37,-140.82,4.4,12.74,-17.7,18.2,-76.0
42654804,-1.35,-141.17,4.4,12.88,-17.5,18.0,-76.0
42831796,-1.34,-141.41,4.3,13.01,-17.4,17.9,-76.1
43008786,-1.32,-141.67,4.3,13.14,-17.3,17.8,-76.1
43185776,-1.31,-141.94,4.2,13.29,-17.1,17.6,-76.2
43362768,-1.28,-142.17,4.1,13.59,-17.0,17.5,-76.4
43539758,-1.27,-142.39,4.1,13.66,-16.9,17.4,-76.4
43716748,-1.28,-142.62,4.1,13.64,-16.8,17.3,-76.3
43893740,-1.27,-142.97,4.1,13.65,-16.6,17.1,-76.3
44070730,-1.26,-143.09,4.0,13.78,-16.6,17.1,-76.3
44247720,-1.25,-143.39,4.0,13.95,-16.4,16.9,-76.4
44424712,-1.24,-143.65,4.0,13.98,-16.3,16.8,-76.4
44601702,-1.24,-143.79,3.9,14.01,-16.3,16.7,-76.4
44778692,-1.24,-144.01,3.9,14.05,-16.1,16.6,-76.3
44955684,-1.24,-144.27,3.9,14.00,-16.0,16.5,-76.2
45132674,-1.24,-144.46,3.9,14.08,-15.9,16.4,-76.2
45309664,-1.22,-144.66,3.9,14.23,-15.8,16.3,-76.3
45486656,-1.22,-144.85,3.9,14.24,-15.8,16.2,-76.2
45663646,-1.21,-145.08,3.8,14.38,-15.6,16.1,-76.3
45840636,-1.22,-145.25,3.9,14.24,-15.6,16.0,-76.1
46017628,-1.21,-145.47,3.8,14.42,-15.5,15.9,-76.2
46194618,-1.21,-145.80,3.8,14.37,-15.3,15.8,-76.0
46371608,-1.21,-146.00,3.8,14.42,-15.2,15.7,-76.0
